CaseID,CustomerID,CreatedDate,CaseCategory,CaseStatus
1,832,2025-07-24,Credit Limit,Resolved
2,531,2025-05-16,Credit Limit,Resolved
3,767,2026-04-24,Credit Limit,Resolved
4,670,2025-11-16,Invoice Query,Resolved
5,846,2026-04-13,Credit Limit,Waiting Customer
6,246,2025-12-03,Credit Limit,Resolved
7,56,2026-05-25,Pricing Query,Open
8,128,2025-03-01,Pricing Query,Resolved
9,193,2026-05-16,Portal Login,Resolved
10,484,2025-06-09,Pricing Query,Waiting Customer
11,787,2026-05-08,Card Issue,Waiting Customer
12,287,2025-07-20,Credit Limit,Resolved
13,78,2025-05-24,Credit Limit,Open
14,782,2025-05-20,Complaint,Resolved
15,220,2025-01-11,Invoice Query,Resolved
16,328,2025-01-27,Credit Limit,Waiting Customer
17,548,2025-02-11,Pricing Query,Open
18,420,2025-03-04,Network Acceptance,Resolved
19,247,2026-02-15,Invoice Query,Waiting Customer
20,620,2026-05-24,Invoice Query,Waiting Customer
21,30,2025-09-18,Credit Limit,Waiting Customer
22,103,2025-05-23,Portal Login,Open
23,437,2026-04-21,Pricing Query,Waiting Customer
24,270,2025-04-01,Complaint,Resolved
25,450,2025-09-26,Invoice Query,Open
26,820,2025-09-15,Complaint,Resolved
27,612,2026-05-14,Invoice Query,Resolved
28,91,2026-03-21,Credit Limit,Resolved
29,73,2026-06-29,Invoice Query,Resolved
30,637,2025-09-10,Network Acceptance,Resolved
31,618,2026-04-08,Invoice Query,Resolved
32,591,2025-03-30,Network Acceptance,Open
33,646,2025-02-01,Card Issue,Resolved
34,116,2025-02-02,Credit Limit,Resolved
35,2,2025-06-14,Card Issue,Resolved
36,180,2025-04-19,Pricing Query,Resolved
37,582,2026-02-18,Card Issue,Waiting Customer
38,256,2025-05-10,Network Acceptance,Open
39,107,2025-03-11,Network Acceptance,Resolved
40,307,2025-01-28,Credit Limit,Resolved
41,393,2025-09-15,Network Acceptance,Resolved
42,582,2025-03-03,Invoice Query,Resolved
43,288,2026-06-23,Card Issue,Waiting Customer
44,139,2025-05-05,Card Issue,Waiting Customer
45,733,2025-08-31,Credit Limit,Waiting Customer
46,551,2025-07-16,Credit Limit,Waiting Customer
47,685,2025-12-03,,Waiting Customer
48,100,2025-06-12,Invoice Query,Waiting Customer
49,247,2026-03-14,Invoice Query,Resolved
50,117,2026-05-14,Invoice Query,Open
51,750,2026-05-13,Card Issue,Resolved
52,318,2025-03-02,Complaint,Resolved
53,618,2025-02-21,Card Issue,Resolved
54,362,2025-08-10,Card Issue,Open
55,524,2025-05-01,Portal Login,Resolved
56,788,2025-05-03,Complaint,Open
57,224,2026-04-12,,Resolved
58,123,2025-04-12,Invoice Query,Resolved
59,440,2025-03-24,Invoice Query,Open
60,46,2026-04-03,Card Issue,Resolved
61,33,2025-01-13,Portal Login,Open
62,99,2025-01-04,Portal Login,Open
63,425,2025-07-19,,Waiting Customer
64,251,2025-10-13,Credit Limit,Waiting Customer
65,59,2025-06-14,Card Issue,Resolved
66,328,2026-05-07,Complaint,Resolved
67,645,2025-10-26,Card Issue,Resolved
68,416,2025-02-25,Invoice Query,Resolved
69,51,2026-01-02,Invoice Query,Resolved
70,31,2025-05-15,Complaint,Open
71,330,2025-09-16,Card Issue,Open
72,671,2026-06-24,Credit Limit,Open
73,406,2025-04-08,Card Issue,Waiting Customer
74,142,2025-11-09,Portal Login,Resolved
75,85,2026-01-02,Network Acceptance,Waiting Customer
76,175,2025-08-25,Invoice Query,Waiting Customer
77,118,2025-04-05,Pricing Query,Open
78,785,2026-03-08,Pricing Query,Resolved
79,370,2025-03-28,Credit Limit,Waiting Customer
80,197,2025-07-17,Complaint,Waiting Customer
81,476,2026-04-23,Pricing Query,Waiting Customer
82,548,2025-06-18,Network Acceptance,Resolved
83,302,2025-10-27,Network Acceptance,Resolved
84,171,2025-10-18,Network Acceptance,Resolved
85,255,2025-06-22,Pricing Query,Resolved
86,770,2025-02-27,Credit Limit,Resolved
87,32,2025-07-29,Portal Login,Resolved
88,92,2025-08-31,Invoice Query,Resolved
89,423,2025-03-19,Card Issue,Resolved
90,281,2026-02-17,Network Acceptance,Resolved
91,403,2026-05-22,Complaint,Resolved
92,376,2025-12-12,Complaint,Resolved
93,23,2025-12-16,Credit Limit,Open
94,609,2026-01-30,Portal Login,Waiting Customer
95,523,2025-02-08,Credit Limit,Resolved
96,185,2025-09-01,Invoice Query,Waiting Customer
97,390,2025-12-13,Network Acceptance,Waiting Customer
98,366,2025-10-25,Invoice Query,Open
99,530,2026-03-05,Pricing Query,Resolved
100,224,2025-04-12,Pricing Query,Resolved
101,662,2025-05-31,Network Acceptance,Resolved
102,669,2025-04-18,Complaint,Resolved
103,261,2026-04-23,Card Issue,Open
104,757,2026-03-26,Card Issue,Waiting Customer
105,780,2025-05-06,Card Issue,Open
106,314,2026-03-09,Complaint,Resolved
107,82,2025-03-14,Complaint,Resolved
108,496,2025-12-10,Invoice Query,Resolved
109,281,2025-03-09,Portal Login,Waiting Customer
110,707,2026-03-13,Pricing Query,Resolved
111,268,2025-05-13,Pricing Query,Resolved
112,664,2025-01-20,Complaint,Waiting Customer
113,293,2025-11-30,Credit Limit,Waiting Customer
114,418,2025-02-10,Credit Limit,Open
115,239,2025-03-21,Pricing Query,Resolved
116,561,2025-05-02,Pricing Query,Waiting Customer
117,844,2025-09-11,Card Issue,Open
118,213,2025-02-02,Pricing Query,Resolved
119,116,2025-02-13,Pricing Query,Open
120,835,2025-05-16,Invoice Query,Waiting Customer
121,374,2026-04-27,Network Acceptance,Open
122,848,2026-01-26,Invoice Query,Resolved
123,407,2025-07-03,Complaint,Resolved
124,617,2025-11-09,Invoice Query,Resolved
125,21,2025-09-03,Credit Limit,Waiting Customer
126,567,2025-07-02,Pricing Query,Resolved
127,144,2025-08-28,Credit Limit,Waiting Customer
128,386,2025-12-06,Complaint,Resolved
129,44,2026-06-21,Credit Limit,Resolved
130,818,2026-02-28,Credit Limit,Resolved
131,131,2025-06-24,Credit Limit,Open
132,100,2025-05-21,Invoice Query,Resolved
133,663,2025-03-23,Invoice Query,Resolved
134,211,2025-03-18,Invoice Query,Resolved
135,513,2026-02-15,Network Acceptance,Waiting Customer
136,237,2026-03-13,Pricing Query,Resolved
137,645,2026-03-05,Pricing Query,Waiting Customer
138,247,2026-05-14,Pricing Query,Resolved
139,36,2026-03-25,Card Issue,Resolved
140,824,2025-09-07,Network Acceptance,Waiting Customer
141,531,2025-01-22,Pricing Query,Resolved
142,450,2026-04-08,Credit Limit,Waiting Customer
143,736,2025-10-23,Complaint,Resolved
144,402,2025-03-20,Pricing Query,Waiting Customer
145,143,2025-07-13,Pricing Query,Resolved
146,245,2025-05-18,Card Issue,Resolved
147,213,2025-08-26,Complaint,Waiting Customer
148,91,2025-01-08,Pricing Query,Resolved
149,33,2026-04-09,Network Acceptance,Waiting Customer
150,436,2026-01-04,Network Acceptance,Resolved
151,24,2025-04-07,Card Issue,Resolved
152,148,2025-02-14,Invoice Query,Open
153,528,2025-03-30,Invoice Query,Resolved
154,753,2025-11-23,Network Acceptance,Waiting Customer
155,79,2025-04-06,Pricing Query,Resolved
156,572,2026-01-15,Portal Login,Waiting Customer
157,514,2025-11-28,Pricing Query,Resolved
158,67,2026-04-20,Invoice Query,Resolved
159,687,2025-12-07,Pricing Query,Resolved
160,265,2025-11-12,Card Issue,Resolved
161,571,2026-03-10,Network Acceptance,Resolved
162,835,2025-04-04,Card Issue,Open
163,671,2026-06-10,Network Acceptance,Open
164,546,2025-12-04,Network Acceptance,Resolved
165,396,2025-04-11,Portal Login,Open
166,673,2026-03-24,Credit Limit,Waiting Customer
167,223,2026-01-25,Pricing Query,Resolved
168,663,2026-05-16,Card Issue,Resolved
169,254,2026-04-21,Portal Login,Waiting Customer
170,148,2025-06-04,Credit Limit,Resolved
171,628,2026-06-06,Network Acceptance,Resolved
172,460,2025-01-07,Complaint,Waiting Customer
173,412,2025-01-07,Complaint,Waiting Customer
174,727,2025-09-04,Credit Limit,Open
175,165,2025-04-07,Pricing Query,Resolved
176,119,2025-03-14,Pricing Query,Resolved
177,228,2025-12-12,Portal Login,Resolved
178,266,2025-07-29,Card Issue,Open
179,94,2025-05-24,Pricing Query,Waiting Customer
180,353,2025-07-05,Complaint,Waiting Customer
181,437,2025-10-07,Complaint,Waiting Customer
182,552,2025-02-19,Complaint,Waiting Customer
183,362,2025-06-30,Complaint,Resolved
184,534,2026-01-06,Network Acceptance,Resolved
185,805,2026-06-23,Portal Login,Resolved
186,84,2025-02-15,Pricing Query,Resolved
187,1,2025-12-26,Card Issue,Resolved
188,273,2025-01-23,Pricing Query,Open
189,586,2026-06-27,Invoice Query,Resolved
190,593,2026-02-28,Credit Limit,Resolved
191,582,2025-07-18,Pricing Query,Resolved
192,44,2026-01-30,Portal Login,Waiting Customer
193,537,2025-01-19,Credit Limit,Resolved
194,465,2025-05-20,Credit Limit,Resolved
195,685,2025-06-28,Network Acceptance,Resolved
196,548,2025-11-24,Network Acceptance,Waiting Customer
197,245,2025-06-07,Complaint,Resolved
198,454,2026-05-09,Network Acceptance,Resolved
199,466,2025-12-23,Card Issue,Resolved
200,311,2025-02-21,Pricing Query,Resolved
201,712,2025-12-31,Credit Limit,Resolved
202,361,2025-07-17,Complaint,Resolved
203,609,2026-04-14,Network Acceptance,Waiting Customer
204,160,2025-08-19,Invoice Query,Open
205,8,2025-05-30,Credit Limit,Resolved
206,475,2025-12-21,Complaint,Open
207,525,2025-03-07,Card Issue,Waiting Customer
208,267,2025-05-04,,Waiting Customer
209,377,2025-10-04,Card Issue,Resolved
210,342,2025-11-01,Complaint,Resolved
211,36,2026-03-17,Invoice Query,Resolved
212,837,2026-06-18,Network Acceptance,Resolved
213,273,2026-01-15,Portal Login,Resolved
214,497,2026-02-11,Portal Login,Waiting Customer
215,165,2025-04-27,Portal Login,Resolved
216,412,2026-05-17,Network Acceptance,Resolved
217,770,2025-05-01,Credit Limit,Open
218,104,2025-07-21,Invoice Query,Resolved
219,213,2025-09-20,Portal Login,Resolved
220,473,2025-07-09,Invoice Query,Resolved
221,48,2026-04-12,Invoice Query,Resolved
222,165,2025-02-27,Credit Limit,Open
223,99,2025-12-01,Invoice Query,Resolved
224,242,2025-09-22,Pricing Query,Resolved
225,491,2025-04-08,Complaint,Waiting Customer
226,499,2025-05-05,Pricing Query,Resolved
227,210,2026-06-21,,Open
228,715,2025-12-04,Network Acceptance,Resolved
229,846,2025-12-07,Invoice Query,Waiting Customer
230,333,2025-08-03,Portal Login,Resolved
231,329,2025-07-17,,Open
232,312,2025-06-09,Card Issue,Resolved
233,495,2026-05-25,Complaint,Open
234,474,2026-03-09,Invoice Query,Open
235,596,2026-03-11,Card Issue,Resolved
236,746,2026-01-30,Network Acceptance,Resolved
237,813,2025-11-21,Complaint,Resolved
238,570,2025-03-14,Network Acceptance,Resolved
239,507,2025-01-13,Invoice Query,Resolved
240,776,2025-03-30,Invoice Query,Waiting Customer
241,209,2026-02-05,Portal Login,Open
242,587,2025-01-18,Complaint,Open
243,438,2025-02-18,Invoice Query,Resolved
244,576,2025-11-04,Network Acceptance,Resolved
245,312,2025-02-09,Card Issue,Resolved
246,741,2026-03-28,Pricing Query,Open
247,432,2025-10-28,Network Acceptance,Resolved
248,221,2025-10-08,Invoice Query,Open
249,91,2025-09-29,Network Acceptance,Resolved
250,370,2025-12-20,Card Issue,Resolved
251,804,2025-08-15,Network Acceptance,Resolved
252,271,2026-05-09,Pricing Query,Open
253,103,2025-08-16,Portal Login,Waiting Customer
254,400,2025-03-25,Invoice Query,Open
255,532,2025-05-11,Complaint,Open
256,798,2026-06-11,Invoice Query,Open
257,809,2025-09-18,Credit Limit,Waiting Customer
258,436,2026-06-10,Credit Limit,Resolved
259,731,2025-09-11,Pricing Query,Resolved
260,326,2025-04-03,Pricing Query,Resolved
261,636,2026-01-25,Invoice Query,Resolved
262,540,2025-09-21,Network Acceptance,Open
263,299,2026-04-15,Invoice Query,Open
264,783,2025-05-17,Credit Limit,Open
265,510,2026-01-21,Credit Limit,Waiting Customer
266,745,2025-02-25,Complaint,Resolved
267,641,2025-09-14,Pricing Query,Resolved
268,786,2025-03-30,Credit Limit,Resolved
269,691,2025-11-16,Card Issue,Resolved
270,38,2026-06-18,Network Acceptance,Waiting Customer
271,366,2026-02-18,Network Acceptance,Waiting Customer
272,660,2025-02-11,Portal Login,Resolved
273,110,2025-09-19,,Resolved
274,201,2025-11-17,Network Acceptance,Resolved
275,706,2026-02-17,Credit Limit,Resolved
276,175,2026-03-14,Credit Limit,Open
277,359,2025-08-15,Portal Login,Waiting Customer
